specimen_id	instance	variant	node_type	spec.bit	readback.tsv	checkpoint
SLICE_X24Y25_zini_DFF	SLICE_X24Y25	zini_DFF	derived	ad64484cee32e6dcf51dd331cc377f902b059fd769c624f153c9e095ca26c2b7	fa2683c1c7e416e1d8b202bd3186df67d29d196697cff7cf3d0c4911077858aa	dbd4cf375c478dc571d1a7f2076dd4e5c9d1ad802799729e0a78d24cda81b0f8
SLICE_X24Y25_zrst_A5FF	SLICE_X24Y25	zrst_A5FF	implementation	35b8f07ba592ec3c89574baa81655de3af5eccf999037589d05b425c2b03186e	c5832860f20301e41b115702128a89fa0a76fa39b3904120e4f33c0ac5434c01	f7e495a6d48a6663b724651f04471b210f551a13a44d38ab74435994ce667ded
SLICE_X24Y25_zrst_AFF	SLICE_X24Y25	zrst_AFF	implementation	dc8130972322ffe71c83d8c7b2116ef6a730cd31603a1ee3b2903f3d1d67aa99	cabbe69a30df25ad8033ad02a033062b3bd1949a95b9151a05cae925ae2f867d	2087afc241ad84f6d007ad5143c4a01e11d36e0a2c7174fbc3f5a21a8dab97fd
SLICE_X24Y25_zrst_B5FF	SLICE_X24Y25	zrst_B5FF	implementation	a82bf15b0e2f1120214c949aacaee9125eb8c9a005e0b8560d6ce8fbaa3f55a7	01a16bb42f9eea0881c971d3451b911027eb6dc7ed0872e2408949f5ec088296	09f6ea9ae49e984a7a61deca35079dd82bd7ac4e00d5f64fc75461ae43bb2d23
SLICE_X24Y25_zrst_BFF	SLICE_X24Y25	zrst_BFF	implementation	a3b29f2e8caeddf9c718e16b40bec8dbedc4f49e061b7fc591f4437ff0497334	e7d6f01187fffe358277b65c8322829ccf4e9842b72de0b4dcf798ae6bf64698	dab691261864e0e5a837c0bb990d36049339506851236bb4e6af011b0b8935d5
SLICE_X24Y25_zrst_C5FF	SLICE_X24Y25	zrst_C5FF	implementation	2d2f8e7df9f8c8717ae6aa3c6cfa2cf58131d3f090b3dd31a05fea7ee010b425	2b0b9449327595b6fd139e49b6a1912c5a9b0ab96fca3ba487f1f42aa6da87fd	a78b359c15eff3d775d284ffb8c642a4f02eadc695091a9b8860f30c8cdcacd9
SLICE_X24Y25_zrst_CFF	SLICE_X24Y25	zrst_CFF	implementation	e91f20ce6a3b43c8fbca2553bce232283d8854653613718b4e7aca51eacbac70	7983adb9b372b45cf30b141758bbd3a3506eb0a9d35181abb095e377867f6a0f	2825a043ddd4f0b5e4238e921710d192b7e9795bcc36d008fb14ae3921401588
SLICE_X24Y25_zrst_D5FF	SLICE_X24Y25	zrst_D5FF	implementation	9f501ed99bfd2de331d6779d338f2d0cb1337b3a7b4582c7ed41c31a6206dd81	03104ed99491e6f90369fc99d6846c739575c20118180dc9735823d976a169ba	70acb7ebdb5274c0c42b47feb2f883116c79fd46c03d8e32854f72e45115e65a
SLICE_X24Y25_zrst_DFF	SLICE_X24Y25	zrst_DFF	implementation	2d1936e1133c21c89f7f937ac099eceb14ddcc6adc66c1d26cffa8c53f781809	d2c19b4aa0f27790801f1d152a02bccab1fa11c7c42180bc8d0f0ff8fdae1093	02f183cc262ca198a86241eb0615ccaf887ba8a743a270d0f29703adba0368c2
SLICE_X25Y25_async	SLICE_X25Y25	async	implementation	9bdbc95d39bc9f487984161f3dc510d3ea3b78cdaa805afaf8cc7474e75c6a93	a17b29f5ff9abe94bc329b29baa7e648ab0f4b108bc34bff4fffd82805c415da	8e31f87c1fd045e4873eff59c89d3ea7e77c3086d1bd58b1e439d1362325302c
